epoch,series,val_dfm_ce_loss,kind
97.75,power law to floor,4.418239348084298,conditional projection
98.0,power law to floor,4.417770280148252,conditional projection
98.25,power law to floor,4.417305572167842,conditional projection
98.5,power law to floor,4.41684517267769,conditional projection
98.75,power law to floor,4.416389030948409,conditional projection
99.0,power law to floor,4.41593709697424,conditional projection
99.25,power law to floor,4.415489321460941,conditional projection
99.5,power law to floor,4.415045655813908,conditional projection
99.75,power law to floor,4.414606052126513,conditional projection
100.0,power law to floor,4.414170463168678,conditional projection
